gde_nr,gde_name,knt_name,einwohner,jur_steuerpflichtige,jur_steuerertrag,jur_kopfquote,nat_steuerertrag,nat_kopfquote,nat_steuerpflichtige,nat_nicht_pflichtige,nachbarn,anzahl_nachbarn
NA,SCHWEIZ / SUISSE,NA,8606033,463371,13514546572,1570.3572798291616,11811543155.749998,1372.4724452892522,3852847,1389435,NA,NA
1,Aeugst am Albis,Zürich,1981,57,87998,44.420999495204441,5351880.9428072423,2701.605725798709,933,241,"Affoltern am Albis, Hausen am Albis, Mettmenstetten, Rifferswil, Stallikon, Langnau am Albis",6
2,Affoltern am Albis,Zürich,12303,486,1524037,123.87523368284158,11960946.775729431,972.19757585381058,5507,1683,"Aeugst am Albis, Hedingen, Mettmenstetten, Obfelden, Ottenbach, Stallikon, Jonen",7
3,Bonstetten,Zürich,5572,127,159951,28.706209619526202,7816648.9963891078,1402.8443999262577,2519,579,"Hedingen, Stallikon, Wettswil am Albis, Aesch (ZH), Birmensdorf (ZH), Islisberg",6
4,Hausen am Albis,Zürich,3751,108,126978,33.851772860570513,6421497.5544187417,1711.9428297570626,1643,472,"Aeugst am Albis, Kappel am Albis, Rifferswil, Langnau am Albis, Horgen, Baar, Neuheim",7
5,Hedingen,Zürich,3778,89,1229963,325.55929062996296,7191168.0079595875,1903.4325060771803,1728,447,"Affoltern am Albis, Bonstetten, Stallikon, Arni (AG), Jonen, Islisberg",6
6,Kappel am Albis,Zürich,1221,40,59618,48.827190827190826,2503262.9527923055,2050.1744085113069,544,139,"Hausen am Albis, Knonau, Mettmenstetten, Rifferswil, Baar, Steinhausen",6
7,Knonau,Zürich,2378,71,128671,54.10891505466779,2971329.1695226007,1249.5076406739279,1041,251,"Kappel am Albis, Maschwanden, Mettmenstetten, Cham, Steinhausen",5
8,Maschwanden,Zürich,645,18,9292,14.406201550387596,541436.83796972781,839.43695809260123,291,85,"Knonau, Mettmenstetten, Obfelden, Cham, Hünenberg",5
9,Mettmenstetten,Zürich,5200,121,1175508,226.05923076923077,7886849.0674618091,1516.7017437426557,2365,604,"Aeugst am Albis, Affoltern am Albis, Kappel am Albis, Knonau, Maschwanden, Obfelden, Rifferswil",7
