gde_nr,gde_name,knt_name,einwohner,jur_steuerpflichtige,jur_steuerertrag,jur_kopfquote,knt_nr,nummer,kreis_nr,nat_steuerertrag,nat_kopfquote,nat_steuerpflichtige
1,Aeugst am Albis,Zürich,1981,57,87998,44.420999495204441,1,1,0,5351880.9428072423,2701.605725798709,842
2,Affoltern am Albis,Zürich,12303,486,1524037,123.87523368284158,1,1,0,11960946.775729431,972.19757585381058,5048
3,Bonstetten,Zürich,5572,127,159951,28.706209619526202,1,1,0,7816648.9963891078,1402.8443999262577,2345
4,Hausen am Albis,Zürich,3751,108,126978,33.851772860570513,1,1,0,6421497.5544187417,1711.9428297570626,1527
5,Hedingen,Zürich,3778,89,1229963,325.55929062996296,1,1,0,7191168.0079595875,1903.4325060771803,1615
6,Kappel am Albis,Zürich,1221,40,59618,48.827190827190826,1,1,0,2503262.9527923055,2050.1744085113069,498
7,Knonau,Zürich,2378,71,128671,54.10891505466779,1,1,0,2971329.1695226007,1249.5076406739279,949
8,Maschwanden,Zürich,645,18,9292,14.406201550387596,1,1,0,541436.83796972781,839.43695809260123,272
9,Mettmenstetten,Zürich,5200,121,1175508,226.05923076923077,1,1,0,7886849.0674618091,1516.7017437426557,2205
10,Obfelden,Zürich,5721,142,541587,94.666491872050344,1,1,0,5417909.5647257743,947.02142365421685,2261
11,Ottenbach,Zürich,2588,85,348839,134.79095826893354,1,1,0,3383458.3814573647,1307.3641350298935,1152
12,Rifferswil,Zürich,1129,34,47013,41.641275465013287,1,1,0,1742116.1643615626,1543.0612616134301,439
13,Stallikon,Zürich,3755,125,190450,50.719041278295606,1,1,0,7866285.0987627152,2094.8828492044513,1528
14,Wettswil am Albis,Zürich,5240,203,680183,129.80591603053435,1,1,0,16142074.976115726,3080.54865956407,2156
21,Adlikon,Zürich,698,17,11312,16.206303724928368,1,2,0,578627,828.97851002865332,310
22,Benken (ZH),Zürich,845,27,44351,52.486390532544377,1,2,0,1286211.250957028,1522.1434922568378,367
23,Berg am Irchel,Zürich,577,22,57145,99.038128249566725,1,2,0,2006282.1270225786,3477.0920745625281,*
24,Buch am Irchel,Zürich,979,31,43807,44.746680286006132,1,2,0,1158836.4478321399,1183.6940223004494,407
25,Dachsen,Zürich,1916,58,66422,34.667014613778704,1,2,0,2282436.2373987534,1191.2506458239841,790
26,Dorf,Zürich,658,23,13317,20.238601823708208,1,2,0,814451.74114274897,1237.7686035604088,*
27,Feuerthalen,Zürich,3614,104,727026,201.169341449917,1,2,0,4326560.5704518193,1197.1667322777585,1517
28,Flaach,Zürich,1420,70,111247,78.342957746478874,1,2,0,1319782.2964654379,929.42415244044923,584
29,Flurlingen,Zürich,1477,77,81201,54.976980365605961,1,2,0,3016442.169654815,2042.2763504771935,658
30,Andelfingen,Zürich,2247,96,1219361,542.66177125055628,1,2,0,3391421.0162493647,1509.3106436356763,953
31,Henggart,Zürich,2234,61,528279,236.47224709042078,1,2,0,2172879.1161817028,972.64060706432531,926
32,Humlikon,Zürich,485,16,10818,22.305154639175257,1,2,0,691187.29198442551,1425.1284370812898,*
33,Kleinandelfingen,Zürich,2074,88,536518,258.68756027000967,1,2,0,2099239.2603757498,1012.1693637298697,869
34,Laufen-Uhwiesen,Zürich,1761,43,815498,463.08801817149345,1,2,0,4003198,2273.2526973310619,775
35,Marthalen,Zürich,1918,103,381266,198.78310740354536,1,2,0,2430024.2419305299,1266.9573732693066,843
37,Ossingen,Zürich,1668,44,149119,89.399880095923265,1,2,0,1359101.140618575,814.80883730130392,726
38,Rheinau,Zürich,1316,33,109229,83.000759878419458,1,2,0,1153353.7014668079,876.40858774073547,533
39,Thalheim an der Thur,Zürich,938,37,74584,79.513859275053306,1,2,0,1035253.1788771426,1103.6814273743526,426
40,Trüllikon,Zürich,1061,34,8673,8.1743638077285574,1,2,0,927046.28092937369,873.7476728834813,455
41,Truttikon,Zürich,463,10,16599,35.850971922246224,1,2,0,437082.74684433854,944.02321132686507,*
43,Volken,Zürich,380,15,5990,15.763157894736842,1,2,0,518776.02035001048,1365.2000535526593,*
51,Bachenbülach,Zürich,4180,177,1023156,244.77416267942584,1,3,0,4690654.9150909269,1122.1662476294084,1685
52,Bassersdorf,Zürich,11824,459,3105904,262.67794316644114,1,3,0,13517363.447400497,1143.214093995306,4916
53,Bülach,Zürich,21372,652,3472761,162.49115665356541,1,3,0,23268559.691720974,1088.7403935860459,8815
54,Dietlikon,Zürich,7847,445,11520424,1468.1310054798012,1,3,0,10024827.19819708,1277.5362811516604,3342
55,Eglisau,Zürich,5339,141,172563,32.321221202472373,1,3,0,6864578.2198401419,1285.7423150103282,2087
56,Embrach,Zürich,9421,292,1387793,147.3084598237979,1,3,0,9047040.0851952881,960.30570907496951,3669
57,Freienstein-Teufen,Zürich,2389,66,287811,120.47341984093764,1,3,0,2793301.7248216104,1169.2347111015531,1030
58,Glattfelden,Zürich,5217,131,707593,135.63216407897258,1,3,0,4427804.1636535265,848.72611915919617,2109
59,Hochfelden,Zürich,1982,35,48983,24.713925327951564,1,3,0,2447931.6368983681,1235.0815524209729,799
60,Höri,Zürich,2872,160,1016297,353.86385793871864,1,3,0,1830028.1881352712,637.19644433679355,1070
61,Hüntwangen,Zürich,1057,43,112071,106.02743614001892,1,3,0,1413256.1391479524,1337.0445971125378,*
62,Kloten,Zürich,20130,1040,74135475,3682.8353204172877,1,3,0,22129999.301374309,1099.3541630091559,8285
63,Lufingen,Zürich,2417,81,339591,140.50103434009102,1,3,0,4185897.7161382004,1731.8567298875466,1001
64,Nürensdorf,Zürich,5602,221,534561,95.423241699393074,1,3,0,12253913.857523918,2187.417682528368,2535
65,Oberembrach,Zürich,1121,35,54101,48.261373773416594,1,3,0,1377185.4855820963,1228.53299338278,516
66,Opfikon,Zürich,21014,1342,111835715,5321.9622632530691,1,3,0,22216507.733896665,1057.2241236269469,7981
67,Rafz,Zürich,4661,127,493895,105.96331259386398,1,3,0,5131797.9518329296,1101.0079278766209,1853
68,Rorbas,Zürich,2885,77,112314,38.930329289428073,1,3,0,1910421.5275735073,662.19117073605105,1051
69,Wallisellen,Zürich,16841,1042,90632769,5381.6738317202071,1,3,0,27598279.84857332,1638.7554093327783,7225
70,Wasterkingen,Zürich,563,14,6601,11.724689165186501,1,3,0,506596.93797962111,899.81694134923816,*
71,Wil (ZH),Zürich,1474,61,108414,73.550881953867034,1,3,0,2284008.5022603311,1549.5308699188136,596
72,Winkel,Zürich,4535,208,750814,165.55986769570012,1,3,0,15000142.178427044,3307.6388486057431,2108
81,Bachs,Zürich,592,19,10293,17.386824324324323,1,4,0,611479.44122475071,1032.9044615282951,*
82,Boppelsen,Zürich,1432,52,262518,183.32262569832403,1,4,0,4625778.305944928,3230.2921130900336,606
83,Buchs (ZH),Zürich,6565,192,1351641,205.8859101294745,1,4,0,6843909.6688675517,1042.4843364611656,2655
84,Dällikon,Zürich,4177,216,2829984,677.51592051711759,1,4,0,4062063.3805840635,972.48345237827709,1685
85,Dänikon,Zürich,1861,67,534484,287.20257925846317,1,4,0,2136868.7073419234,1148.2368121128013,699
86,Dielsdorf,Zürich,5966,234,2997692,502.46262152195777,1,4,0,5323552.2401213069,892.31515925600183,2415
87,Hüttikon,Zürich,952,30,13657,14.345588235294118,1,4,0,1508227,1584.2720588235295,*
88,Neerach,Zürich,3175,186,909168,286.35212598425198,1,4,0,9610724.8118405379,3026.9999407371774,1562
89,Niederglatt,Zürich,4993,131,935698,187.40196274784699,1,4,0,4316347.1199260345,864.47969555898953,2085
90,Niederhasli,Zürich,9345,266,1820271,194.78555377207061,1,4,0,7714123.2696305066,825.48135576570428,3686
91,Niederweningen,Zürich,3073,76,3784353,1231.4848682069639,1,4,0,4238245.7184675289,1379.1883236145554,1283
92,Oberglatt,Zürich,7228,191,1480521,204.83135030437188,1,4,0,4232347.1250631753,585.54885515539229,2732
93,Oberweningen,Zürich,1790,55,102228,57.110614525139667,1,4,0,2640442.3570157867,1475.1074620199925,764
94,Otelfingen,Zürich,2982,200,2441302,818.67940979208583,1,4,0,3425592.3297154489,1148.7566498039735,1192
95,Regensberg,Zürich,469,16,21785,46.449893390191896,1,4,0,964162.32656803005,2055.7832122985715,209
96,Regensdorf,Zürich,18540,965,7816253,421.58861920172598,1,4,0,17799543.323625509,960.061667940966,7211
97,Rümlang,Zürich,8233,553,6771102,822.43434956880844,1,4,0,7606500.7750387806,923.9038959114273,3313
98,Schleinikon,Zürich,758,30,47737,62.977572559366756,1,4,0,774319.63335431868,1021.529859306489,*
99,Schöfflisdorf,Zürich,1377,46,18543,13.466230936819173,1,4,0,1902540.8642708901,1381.6564010681846,607
100,Stadel,Zürich,2293,60,58875,25.675970344526821,1,4,0,2303768.5085779158,1004.6962531957766,1034
101,Steinmaur,Zürich,3609,106,307734,85.268495428096429,1,4,0,3971645.3016406684,1100.4835970187498,1486
102,Weiach,Zürich,1903,50,559202,293.85286389910669,1,4,0,1322959.935868697,695.19702357787548,818
111,Bäretswil,Zürich,5053,192,1013669,200.60736196319019,1,5,0,4698263.3218008094,929.79681808842452,2106
112,Bubikon,Zürich,7344,320,3904193,531.61669389978215,1,5,0,8969348.3054703344,1221.3164903962875,3126
113,Dürnten,Zürich,7606,189,526113,69.170786221404157,1,5,0,6689229.3777974108,879.46744383347504,3075
114,Fischenthal,Zürich,2516,65,156852,62.341812400635931,1,5,0,1478014.3598531685,587.44608897184753,929
115,Gossau (ZH),Zürich,10280,335,1262105,122.77285992217899,1,5,0,12521447.244123347,1218.0396151870959,4346
116,Grüningen,Zürich,3641,137,634331,174.21889590771767,1,5,0,5092186.8543424467,1398.5682104758162,1573
117,Hinwil,Zürich,11277,496,7718284,684.42706393544381,1,5,0,11184044.114161566,991.75703770165524,4945
118,Rüti (ZH),Zürich,12286,465,1419958,115.57528894676868,1,5,0,9098816.3748546131,740.58410995072552,5006
119,Seegräben,Zürich,1430,54,121101,84.68601398601399,1,5,0,1778456.3864547319,1243.6757947235888,597
120,Wald (ZH),Zürich,10096,302,890707,88.22375198098257,1,5,0,6910922.1218455015,684.5208123856479,4066
121,Wetzikon (ZH),Zürich,24990,1003,7978205,319.25590236094439,1,5,0,21474976.336816341,859.34279058888922,10286
